"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Apr-2024","EQ","1,502.90","1,502.90","1,483.30","1,498.65","1,490.00","1,489.40","1,488.34","1,519.00","886.30","6,14,238","91,41,94,606.75","58,285"
"01-Apr-2024","EQ","1,510.00","1,510.00","1,493.80","1,496.95","1,497.00","1,498.65","1,500.78","1,519.00","886.30","5,63,831","84,61,84,132.70","35,731"
"28-Mar-2024","EQ","1,472.00","1,514.20","1,461.15","1,463.35","1,496.00","1,496.95","1,492.66","1,519.00","876.05","21,10,407","3,15,01,28,406.60","1,09,999"
"27-Mar-2024","EQ","1,484.00","1,496.00","1,458.00","1,472.25","1,469.35","1,463.35","1,470.68","1,519.00","876.05","16,42,266","2,41,52,50,138.50","83,945"
"26-Mar-2024","EQ","1,473.00","1,481.25","1,460.00","1,481.25","1,469.20","1,472.25","1,472.07","1,519.00","876.05","16,35,695","2,40,78,56,738.90","85,372"
"22-Mar-2024","EQ","1,453.00","1,489.60","1,451.05","1,448.70","1,477.60","1,481.25","1,473.66","1,519.00","852.00","17,46,930","2,57,43,88,263.40","77,213"
"21-Mar-2024","EQ","1,427.00","1,455.10","1,420.20","1,417.40","1,451.00","1,448.70","1,445.42","1,519.00","852.00","16,99,939","2,45,71,28,732.10","1,00,232"
"20-Mar-2024","EQ","1,435.80","1,444.90","1,415.60","1,435.70","1,417.65","1,417.40","1,427.61","1,519.00","852.00","17,28,210","2,46,72,05,756.95","72,403"
"19-Mar-2024","EQ","1,482.55","1,486.80","1,431.10","1,488.45","1,434.95","1,435.70","1,447.78","1,519.00","852.00","16,47,925","2,38,58,24,657.95","98,289"
"18-Mar-2024","EQ","1,489.00","1,495.85","1,471.00","1,488.05","1,483.50","1,488.45","1,487.93","1,519.00","852.00","9,96,530","1,48,27,65,866.95","73,915"
"15-Mar-2024","EQ","1,494.80","1,496.20","1,466.05","1,496.65","1,482.60","1,488.05","1,484.47","1,519.00","852.00","15,37,072","2,28,17,43,342.50","68,169"
"14-Mar-2024","EQ","1,467.10","1,501.45","1,454.35","1,471.25","1,500.00","1,496.65","1,482.51","1,519.00","852.00","17,48,907","2,59,27,79,787.40","1,04,778"
"13-Mar-2024","EQ","1,470.00","1,479.00","1,449.00","1,465.75","1,467.65","1,471.25","1,464.81","1,519.00","852.00","17,20,173","2,51,97,33,155.15","95,620"
"12-Mar-2024","EQ","1,512.00","1,514.00","1,460.00","1,504.10","1,470.80","1,465.75","1,473.39","1,519.00","852.00","18,55,916","2,73,44,82,386.00","81,326"
"11-Mar-2024","EQ","1,493.00","1,519.00","1,488.55","1,483.15","1,505.00","1,504.10","1,506.99","1,519.00","852.00","21,83,994","3,29,12,47,801.65","1,22,138"
"07-Mar-2024","EQ","1,485.25","1,490.45","1,475.50","1,485.25","1,483.75","1,483.15","1,482.46","1,495.30","852.00","15,69,074","2,32,60,96,773.70","1,05,876"
"06-Mar-2024","EQ","1,476.00","1,489.90","1,448.15","1,473.45","1,488.00","1,485.25","1,468.56","1,495.30","852.00","11,58,132","1,70,07,84,881.50","67,280"
"05-Mar-2024","EQ","1,465.15","1,479.70","1,452.80","1,471.50","1,478.90","1,473.45","1,467.20","1,495.30","852.00","13,06,046","1,91,62,37,185.65","60,712"
"04-Mar-2024","EQ","1,483.00","1,495.30","1,469.75","1,482.30","1,472.00","1,471.50","1,478.82","1,495.30","852.00","11,47,249","1,69,65,76,710.15","70,001"
"02-Mar-2024","EQ","1,486.00","1,492.00","1,474.35","1,470.90","1,483.00","1,482.30","1,484.15","1,494.00","852.00","80,914","12,00,88,276.15","3,885"
"01-Mar-2024","EQ","1,494.00","1,494.00","1,460.00","1,480.35","1,467.05","1,470.90","1,471.40","1,494.00","852.00","19,82,189","2,91,65,89,446.55","70,741"
"29-Feb-2024","EQ","1,475.95","1,490.00","1,451.40","1,477.00","1,474.85","1,480.35","1,477.42","1,493.95","852.00","49,23,680","7,27,43,48,247.70","1,20,824"
"28-Feb-2024","EQ","1,491.45","1,493.95","1,470.00","1,487.45","1,473.15","1,477.00","1,480.73","1,493.95","852.00","10,83,605","1,60,45,22,330.60","50,018"
"27-Feb-2024","EQ","1,473.45","1,491.00","1,469.70","1,469.85","1,490.55","1,487.45","1,481.99","1,491.00","852.00","12,31,196","1,82,46,24,586.25","62,958"
"26-Feb-2024","EQ","1,473.50","1,481.20","1,461.55","1,466.40","1,466.00","1,469.85","1,471.50","1,482.35","852.00","8,98,290","1,32,18,32,559.70","55,761"
"23-Feb-2024","EQ","1,456.15","1,482.35","1,449.75","1,453.30","1,464.95","1,466.40","1,470.57","1,482.35","852.00","13,08,103","1,92,36,55,503.55","74,824"
"22-Feb-2024","EQ","1,455.55","1,456.00","1,420.55","1,447.30","1,447.95","1,453.30","1,441.66","1,479.00","852.00","15,82,836","2,28,19,11,474.35","1,19,052"
"21-Feb-2024","EQ","1,452.00","1,462.50","1,433.45","1,451.65","1,447.95","1,447.30","1,451.12","1,479.00","852.00","10,74,054","1,55,85,78,128.30","68,075"
"20-Feb-2024","EQ","1,475.00","1,479.00","1,436.00","1,470.35","1,450.00","1,451.65","1,453.40","1,479.00","852.00","15,50,412","2,25,33,61,309.15","83,186"
"19-Feb-2024","EQ","1,444.95","1,473.60","1,438.95","1,440.70","1,471.35","1,470.35","1,461.71","1,473.60","852.00","8,88,909","1,29,93,24,803.65","49,302"
"16-Feb-2024","EQ","1,430.00","1,449.00","1,425.90","1,422.35","1,441.00","1,440.70","1,439.75","1,463.55","852.00","8,57,301","1,23,42,95,084.40","62,199"
"15-Feb-2024","EQ","1,425.35","1,437.95","1,412.00","1,425.35","1,424.95","1,422.35","1,418.45","1,463.55","852.00","14,02,161","1,98,88,95,114.10","79,216"
"14-Feb-2024","EQ","1,454.80","1,454.80","1,410.45","1,457.75","1,423.45","1,425.35","1,424.19","1,463.55","852.00","11,13,254","1,58,54,88,713.60","61,809"
"13-Feb-2024","EQ","1,439.00","1,463.55","1,430.00","1,434.75","1,453.20","1,457.75","1,452.12","1,463.55","852.00","9,81,536","1,42,53,03,248.40","50,012"
"12-Feb-2024","EQ","1,440.00","1,452.75","1,425.00","1,439.75","1,430.00","1,434.75","1,437.13","1,457.70","852.00","4,53,460","65,16,80,002.00","32,880"
"09-Feb-2024","EQ","1,428.10","1,447.55","1,417.05","1,420.20","1,442.00","1,439.75","1,434.94","1,457.70","852.00","12,15,784","1,74,45,72,711.35","60,109"
"08-Feb-2024","EQ","1,448.00","1,457.70","1,417.65","1,438.75","1,424.30","1,420.20","1,431.21","1,457.70","852.00","14,47,767","2,07,20,60,500.55","95,838"
"07-Feb-2024","EQ","1,436.00","1,444.50","1,420.85","1,425.45","1,438.00","1,438.75","1,432.95","1,447.00","852.00","8,90,299","1,27,57,57,476.90","62,133"
"06-Feb-2024","EQ","1,444.85","1,445.90","1,412.55","1,433.90","1,424.00","1,425.45","1,426.40","1,447.00","852.00","9,79,752","1,39,75,21,907.55","58,246"
"05-Feb-2024","EQ","1,400.65","1,447.00","1,394.30","1,392.65","1,432.40","1,433.90","1,430.17","1,447.00","852.00","23,69,316","3,38,85,30,215.65","89,771"
